#K-Path(1/A) Energy-Level(eV)
# NKPTS & NBANDS: 140 192
# Band-Index:    1
   1.35210    -19.315370
   1.31891    -19.284593
   1.28572    -19.252498
   1.25252    -19.219299
   1.21933    -19.185687
   1.18614    -19.152312
   1.15295    -19.138129
   1.11976    -19.144284
   1.08657    -19.149249
   1.05338    -19.153002
   1.02019    -19.155435
   0.98700    -19.156196
   0.98700    -19.156196
   0.96824    -19.158600
   0.94948    -19.164278
   0.93073    -19.171500
   0.91197    -19.179030
   0.89322    -19.186507
   0.87446    -19.193783
   0.85570    -19.200460
   0.83695    -19.206684
   0.81819    -19.212508
   0.79943    -19.217819
   0.78068    -19.222600
   0.76192    -19.226894
   0.74317    -19.230367
   0.72441    -19.233473
   0.70565    -19.235923
   0.68690    -19.237901
   0.66814    -19.239290
   0.64939    -19.240092
   0.63063    -19.240374
   0.63063    -19.240374
   0.59744    -19.239825
   0.56425    -19.238175
   0.53106    -19.235286
   0.49787    -19.231282
   0.46467    -19.226244
   0.43148    -19.220208
   0.39829    -19.213119
   0.36510    -19.204944
   0.33191    -19.196107
   0.29872    -19.186190
   0.26553    -19.175826
   0.23234    -19.165077
   0.19915    -19.154232
   0.16596    -19.143794
   0.13276    -19.133904
   0.09957    -19.125351
   0.06638    -19.118485
   0.03319    -19.114240
   0.00000    -19.112756
 
# Band-Index:    3
   0.00000    -19.092427
   0.03319    -19.092351
   0.06638    -19.092124
   0.09957    -19.091460
   0.13276    -19.090538
   0.16596    -19.088962
   0.19915    -19.086536
   0.23234    -19.083162
   0.26553    -19.078576
   0.29872    -19.073015
   0.33191    -19.066536
   0.36510    -19.059223
   0.39829    -19.051181
   0.43148    -19.043002
   0.46467    -19.035500
   0.49787    -19.029891
   0.53106    -19.037172
   0.56425    -19.044065
   0.59744    -19.048170
   0.63063    -19.049508
   0.63063    -19.049508
   0.64939    -19.049310
   0.66814    -19.048646
   0.68690    -19.047577
   0.70565    -19.046113
   0.72441    -19.044343
   0.74317    -19.042357
   0.76192    -19.040563
   0.78068    -19.039241
   0.79943    -19.039411
   0.81819    -19.042334
   0.83695    -19.048710
   0.85570    -19.057682
   0.87446    -19.067767
   0.89322    -19.078412
   0.91197    -19.088861
   0.93073    -19.098836
   0.94948    -19.107805
   0.96824    -19.114689
   0.98700    -19.117535
   0.98700    -19.117535
   1.02019    -19.116685
   1.05338    -19.113852
   1.08657    -19.109764
   1.11976    -19.104054
   1.15295    -19.120146
   1.18614    -19.131072
   1.21933    -19.123453
   1.25252    -19.115270
   1.28572    -19.106753
   1.31891    -19.098164
   1.35210    -19.089763
   1.38529    -19.081627
   1.41848    -19.074231
   1.45167    -19.067585
   1.48486    -19.061854
   1.51805    -19.057313
   1.55124    -19.053741
   1.58443    -19.051473
   1.61763    -19.050273
   1.61763    -19.050273
   1.63638    -19.056398
   1.65514    -19.062247
   1.67389    -19.067673
   1.69265    -19.072936
   1.71141    -19.077953
   1.73016    -19.082484
   1.74892    -19.086790
   1.76768    -19.090620
   1.78643    -19.094327
   1.80519    -19.097672
   1.82394    -19.100799
   1.84270    -19.103715
   1.86146    -19.106074
   1.88021    -19.108172
   1.89897    -19.109646
   1.91773    -19.110984
   1.93648    -19.103938
   1.95524    -19.095400
   1.97399    -19.092427
   1.97399    -19.092427
   2.00245    -19.095045
   2.03090    -19.102480
   2.05936    -19.113780
   2.08781    -19.127816
   2.11627    -19.143846
   2.14472    -19.160697
   2.17318    -19.178022
   2.20163    -19.195086
   2.23009    -19.210214
   2.25854    -19.224250
   2.28700    -19.237452
   2.31545    -19.249500
   2.34391    -19.260330
   2.37236    -19.269808
   2.40082    -19.277888
   2.42927    -19.284365
   2.45773    -19.289221
   2.48618    -19.292392
   2.51464    -19.293692
   2.51464    -19.293692
   2.54309    -19.292392
   2.57155    -19.289221
   2.60000    -19.284365
   2.62845    -19.277888
   2.65691    -19.269808
   2.68536    -19.260330
   2.71382    -19.249500
   2.74227    -19.237452
   2.77073    -19.224250
   2.79918    -19.210214
   2.82764    -19.195086
   2.85609    -19.178022
   2.88455    -19.160697
   2.91300    -19.143846
   2.94146    -19.127816
   2.96991    -19.113780
   2.99837    -19.102480
   3.02682    -19.095045
   3.05528    -19.092427
   3.05528    -19.092427
   3.07668    -19.092062
   3.09807    -19.090991
   3.11947    -19.089199
   3.14087    -19.086833
   3.16227    -19.083231
   3.18367    -19.079543
   3.20506    -19.074943
   3.22646    -19.069830
   3.24786    -19.064112
   3.26926    -19.057907
   3.29066    -19.051114
   3.31206    -19.044137
   3.33345    -19.036522
   3.35485    -19.028529
   3.37625    -19.020331
   3.39765    -19.011876
   3.41905    -19.003245
   3.44044    -18.994505
   3.46184    -18.985722
 
# Band-Index:    4
   3.46184    -18.985722
   3.44044    -18.977280
   3.41905    -18.969008
   3.39765    -18.960828
   3.37625    -18.953004
   3.35485    -18.945870
   3.33345    -18.939485
   3.31206    -18.933868
   3.29066    -18.928771
   3.26926    -18.924785
   3.24786    -18.921945
   3.22646    -18.919915
   3.20506    -18.919011
   3.18367    -18.919120
   3.16227    -18.920093
   3.14087    -18.921669
   3.11947    -18.923445
